2024/01/05 01:03:08 [error] 15#15: *4 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.13, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 01:03:11 [error] 15#15: *4 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.13, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 01:03:49 [error] 15#15: *12 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.13, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 01:04:37 [error] 15#15: *20 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.13, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 01:04:38 [error] 15#15: *20 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.13, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 01:05:14 [error] 15#15: *23 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.13, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 01:05:26 [error] 15#15: *33 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.13, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 01:05:28 [error] 15#15: *33 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.13, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 01:12:57 [error] 15#15: *40 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.13, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 01:12:59 [error] 15#15: *37 connect() failed (113: No route to host) while connecting to upstream, client: 10.89.2.13, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://10.89.2.15:9000", host: "localhost:8080"
